,Start,End,Scheduled
1,20/03/1940,20/03/1940,1
2,27/05/1940,28/05/1940,1
3,27/09/1940,27/09/1940,1
4,18/12/1940,18/12/1940,1
5,17/03/1941,17/03/1941,1
6,10/06/1941,10/06/1941,1
7,27/09/1941,27/09/1941,1
8,12/12/1941,12/12/1941,1
9,28/02/1942,28/02/1942,1
10,02/03/1942,02/03/1942,1
11,08/05/1942,08/05/1942,1
12,22/06/1942,22/06/1942,1
13,03/08/1942,03/08/1942,1
14,28/09/1942,29/09/1942,1
15,14/12/1942,14/12/1942,1
16,25/01/1943,26/01/1943,1
17,02/03/1943,02/03/1943,1
18,15/05/1943,15/05/1943,1
19,28/06/1943,28/06/1943,1
20,18/10/1943,18/10/1943,1
21,29/02/1944,29/02/1944,1
22,01/03/1944,01/03/1944,1
23,04/05/1944,04/05/1944,1
24,21/09/1944,22/09/1944,1
25,11/12/1944,11/12/1944,1
26,28/02/1945,28/02/1945,1
27,01/03/1945,01/03/1945,1
28,20/06/1945,20/06/1945,1
29,17/10/1945,17/10/1945,1
30,28/02/1946,28/02/1946,1
31,01/03/1946,01/03/1946,1
32,10/06/1946,10/06/1946,1
33,03/10/1946,03/10/1946,1
34,27/02/1947,28/02/1947,1
35,01/03/1947,01/03/1947,1
36,05/06/1947,06/06/1947,1
37,06/10/1947,07/10/1947,1
38,09/12/1947,09/12/1947,1
39,27/02/1948,27/02/1948,1
40,01/03/1948,01/03/1948,1
41,20/05/1948,20/05/1948,1
42,04/10/1948,04/10/1948,1
43,15/11/1948,15/11/1948,1
44,30/11/1948,30/11/1948,1
45,28/02/1949,28/02/1949,1
46,01/03/1949,01/03/1949,1
47,03/05/1949,03/05/1949,1
48,28/06/1949,28/06/1949,1
49,05/08/1949,05/08/1949,1
50,13/12/1949,13/12/1949,1
51,28/02/1950,28/02/1950,1
52,01/03/1950,01/03/1950,1
53,13/06/1950,14/06/1950,1
54,18/08/1950,18/08/1950,1
55,28/09/1950,28/09/1950,1
56,11/10/1950,11/10/1950,1
57,30/10/1950,30/10/1950,1
58,27/11/1950,27/11/1950,1
59,31/01/1951,31/01/1951,1
60,06/02/1951,08/02/1951,1
61,01/03/1951,02/03/1951,1
62,08/03/1951,08/03/1951,1
63,17/05/1951,17/05/1951,1
64,04/10/1951,04/10/1951,1
65,14/11/1951,14/11/1951,1
66,29/02/1952,29/02/1952,1
67,01/03/1952,01/03/1952,1
68,19/06/1952,19/06/1952,1
69,25/09/1952,25/09/1952,1
70,08/12/1952,08/12/1952,1
71,04/03/1953,05/03/1953,1
72,11/06/1953,11/06/1953,1
73,24/09/1953,24/09/1953,1
74,15/12/1953,15/12/1953,1
75,03/03/1954,03/03/1954,1
76,23/06/1954,23/06/1954,1
77,22/09/1954,22/09/1954,1
78,07/12/1954,07/12/1954,1
79,11/01/1955,11/01/1955,1
80,02/03/1955,02/03/1955,1
81,10/05/1955,10/05/1955,1
82,22/06/1955,22/06/1955,1
83,12/07/1955,12/07/1955,1
84,02/08/1955,02/08/1955,1
85,23/08/1955,23/08/1955,1
86,14/09/1955,14/09/1955,1
87,04/10/1955,04/10/1955,1
88,25/10/1955,25/10/1955,1
89,16/11/1955,16/11/1955,1
90,13/12/1955,13/12/1955,1
91,10/01/1956,10/01/1956,1
92,24/01/1956,24/01/1956,1
93,15/02/1956,15/02/1956,1
94,06/03/1956,06/03/1956,1
95,27/03/1956,27/03/1956,1
96,17/04/1956,17/04/1956,1
97,18/04/1956,18/04/1956,1
98,09/05/1956,09/05/1956,1
99,23/05/1956,23/05/1956,1
100,05/06/1956,05/06/1956,1
101,26/06/1956,26/06/1956,1
102,17/07/1956,17/07/1956,1
103,07/08/1956,07/08/1956,1
104,21/08/1956,21/08/1956,1
105,11/09/1956,11/09/1956,1
106,25/09/1956,25/09/1956,1
107,16/10/1956,16/10/1956,1
108,13/11/1956,13/11/1956,1
109,27/11/1956,27/11/1956,1
110,10/12/1956,10/12/1956,1
111,08/01/1957,08/01/1957,1
112,28/01/1957,28/01/1957,1
113,18/02/1957,18/02/1957,1
114,05/03/1957,05/03/1957,1
115,26/03/1957,26/03/1957,1
116,16/04/1957,16/04/1957,1
117,07/05/1957,07/05/1957,1
118,28/05/1957,28/05/1957,1
119,18/06/1957,18/06/1957,1
120,09/07/1957,09/07/1957,1
121,30/07/1957,30/07/1957,1
122,20/08/1957,20/08/1957,1
123,10/09/1957,10/09/1957,1
124,01/10/1957,01/10/1957,1
125,22/10/1957,22/10/1957,1
126,12/11/1957,12/11/1957,1
127,03/12/1957,03/12/1957,1
128,17/12/1957,17/12/1957,1
129,07/01/1958,07/01/1958,1
130,28/01/1958,28/01/1958,1
131,11/02/1958,11/02/1958,1
132,04/03/1958,04/03/1958,1
133,25/03/1958,25/03/1958,1
134,15/04/1958,15/04/1958,1
135,06/05/1958,06/05/1958,1
136,27/05/1958,27/05/1958,1
137,17/06/1958,17/06/1958,1
138,08/07/1958,08/07/1958,1
139,29/07/1958,29/07/1958,1
140,19/08/1958,19/08/1958,1
141,09/09/1958,09/09/1958,1
142,30/09/1958,30/09/1958,1
143,21/10/1958,21/10/1958,1
144,10/11/1958,10/11/1958,1
145,02/12/1958,02/12/1958,1
146,16/12/1958,16/12/1958,1
147,06/01/1959,06/01/1959,1
148,27/01/1959,27/01/1959,1
149,10/02/1959,10/02/1959,1
150,03/03/1959,03/03/1959,1
151,24/03/1959,24/03/1959,1
152,14/04/1959,14/04/1959,1
153,05/05/1959,05/05/1959,1
154,26/05/1959,26/05/1959,1
155,16/06/1959,16/06/1959,1
156,07/07/1959,07/07/1959,1
157,28/07/1959,28/07/1959,1
158,18/08/1959,18/08/1959,1
159,01/09/1959,01/09/1959,1
160,22/09/1959,22/09/1959,1
161,13/10/1959,13/10/1959,1
162,04/11/1959,04/11/1959,1
163,24/11/1959,24/11/1959,1
164,15/12/1959,15/12/1959,1
165,12/01/1960,12/01/1960,1
166,26/01/1960,26/01/1960,1
167,09/02/1960,09/02/1960,1
168,01/03/1960,01/03/1960,1
169,22/03/1960,22/03/1960,1
170,12/04/1960,12/04/1960,1
171,03/05/1960,03/05/1960,1
172,24/05/1960,24/05/1960,1
173,14/06/1960,14/06/1960,1
174,06/07/1960,06/07/1960,1
175,26/07/1960,26/07/1960,1
176,16/08/1960,16/08/1960,1
177,13/09/1960,13/09/1960,1
178,04/10/1960,04/10/1960,1
179,25/10/1960,25/10/1960,1
180,22/11/1960,22/11/1960,1
181,13/12/1960,13/12/1960,1
182,10/01/1961,10/01/1961,1
183,24/01/1961,24/01/1961,1
184,07/02/1961,07/02/1961,1
185,07/03/1961,07/03/1961,1
186,28/03/1961,28/03/1961,1
187,18/04/1961,18/04/1961,1
188,09/05/1961,09/05/1961,1
189,06/06/1961,06/06/1961,1
190,20/06/1961,20/06/1961,1
191,11/07/1961,11/07/1961,1
192,01/08/1961,01/08/1961,1
193,22/08/1961,22/08/1961,1
194,12/09/1961,12/09/1961,1
195,03/10/1961,03/10/1961,1
196,24/10/1961,24/10/1961,1
197,14/11/1961,14/11/1961,1
198,05/12/1961,05/12/1961,1
199,19/12/1961,19/12/1961,1
200,09/01/1962,09/01/1962,1
201,23/01/1962,23/01/1962,1
202,13/02/1962,13/02/1962,1
203,06/03/1962,06/03/1962,1
204,27/03/1962,27/03/1962,1
205,17/04/1962,17/04/1962,1
206,08/05/1962,08/05/1962,1
207,29/05/1962,29/05/1962,1
208,19/06/1962,19/06/1962,1
209,10/07/1962,10/07/1962,1
210,31/07/1962,31/07/1962,1
211,21/08/1962,21/08/1962,1
212,11/09/1962,11/09/1962,1
213,02/10/1962,02/10/1962,1
214,23/10/1962,23/10/1962,1
215,13/11/1962,13/11/1962,1
216,04/12/1962,04/12/1962,1
217,18/12/1962,18/12/1962,1
218,08/01/1963,08/01/1963,1
219,29/01/1963,29/01/1963,1
220,12/02/1963,12/02/1963,1
221,05/03/1963,05/03/1963,1
222,26/03/1963,26/03/1963,1
223,16/04/1963,16/04/1963,1
224,07/05/1963,07/05/1963,1
225,28/05/1963,28/05/1963,1
226,18/06/1963,18/06/1963,1
227,09/07/1963,09/07/1963,1
228,30/07/1963,30/07/1963,1
229,20/08/1963,20/08/1963,1
230,10/09/1963,10/09/1963,1
231,01/10/1963,01/10/1963,1
